name,year,runtime,runtime_category,favorability_rounded,positive,neutral,negative,rating_normalized,country_normalized,genre_normalized
Halloween II,1981,92.0,1,0.57,33,26,25,1,1,5
Halloween II,2009,105.0,2,0.57,33,26,25,1,1,5
Chloe,2009,96.0,1,0.65,79,49,43,1,1,2
Agora,2009,127.0,2,0.44,76,79,95,1,15,0
The Joneses,2009,96.0,1,0.68,113,85,52,1,1,1
Daybreakers,2009,98.0,1,0.68,114,82,54,1,3,3
An Education,2009,100.0,1,0.81,135,71,32,0,0,2
Crazy Heart,2009,112.0,2,0.72,126,74,50,1,1,2
Crank: High Voltage,2009,96.0,1,0.63,89,108,53,1,1,3
The International,2009,118.0,2,0.73,41,32,15,1,1,3
The Uninvited,2009,87.0,1,0.58,11,18,8,0,1,2
My Bloody Valentine,1981,90.0,1,0.65,11,20,6,1,4,5
My Bloody Valentine,2009,101.0,2,0.65,11,20,6,1,1,5
Julie & Julia,2009,123.0,2,0.75,129,78,43,0,1,7
Confessions of a Shopaholic,2009,104.0,2,0.75,67,54,22,2,1,1
Race to Witch Mountain,2009,98.0,1,0.77,91,71,27,2,1,3
9,2009,79.0,1,0.69,94,114,42,0,1,8
The Young Victoria,2009,105.0,2,0.5,2,4,2,2,0,7
Splice,2009,104.0,2,0.54,13,26,11,1,4,2
A Prophet,2009,155.0,2,0.72,108,68,43,1,2,4
My Sister's Keeper,2009,109.0,2,0.58,15,8,11,0,1,2
Bride Wars,2009,89.0,1,0.69,59,58,26,2,1,1
Surrogates,2009,89.0,1,0.82,72,29,16,0,1,3
Valhalla Rising,2009,93.0,1,0.62,110,72,68,4,11,3
Funny People,2009,146.0,2,0.69,113,87,50,1,1,1
Saw VI,2009,90.0,1,0.59,101,79,70,1,4,5
Fish Tank,2009,123.0,2,0.63,92,79,54,4,16,2
Push,2009,111.0,2,0.76,102,116,32,0,1,3
After.Life,2009,104.0,2,0.51,100,55,95,1,1,2
Nine,2009,118.0,2,0.67,36,34,18,0,0,2
Obsessed,2009,108.0,2,0.58,102,74,74,0,1,2
Paul Blart: Mall Cop,2009,91.0,1,0.71,77,99,31,2,1,3
The Box,2009,115.0,2,0.59,75,122,53,0,1,2
Everybody's Fine,1990,118.0,2,0.69,70,39,31,0,20,2
Everybody's Fine,2009,99.0,1,0.69,70,39,31,0,1,0
"I Love You, Beth Cooper",2009,102.0,2,0.0,0,1,0,0,1,1
The Unborn,1991,83.0,1,0.56,85,98,67,1,1,2
The Unborn,2009,88.0,1,0.56,85,98,67,0,1,2
Thirst,2009,134.0,2,0.12,2,9,14,1,17,2
Notorious,2009,122.0,2,0.6,90,102,59,1,1,7
Serious Moonlight,2009,81.0,1,0.94,15,9,1,1,1,1
All About Steve,2009,99.0,1,0.68,109,89,52,0,1,1
Old Dogs,2009,88.0,1,0.81,154,60,36,2,1,1
Nowhere Boy,2009,98.0,1,0.59,26,46,18,1,0,7
The Girlfriend Experience,2009,77.0,1,0.69,106,97,47,1,1,2
The Girl Who Played with Fire,2009,129.0,2,0.67,28,26,14,1,19,3
Ghosts of Girlfriends Past,2009,100.0,1,0.75,67,69,22,0,1,1
The Haunting in Connecticut,2009,92.0,1,0.5,79,91,80,0,1,2
I Love You Phillip Morris,2009,98.0,1,0.75,131,76,43,1,2,7
Bad Lieutenant: Port of Call New Orleans,2009,122.0,2,0.52,50,41,46,1,1,4
Black Dynamite,2009,84.0,1,0.78,115,102,33,1,1,3
Brooklyn's Finest,2009,132.0,2,0.63,110,75,65,1,1,3
In the Loop,2009,106.0,2,0.66,123,64,63,4,0,1
The Boondock Saints II: All Saints Day,2009,118.0,2,0.58,61,69,44,1,1,3
Whatever Works,2009,93.0,1,0.81,71,45,17,0,1,1
Alvin and the Chipmunks: the Squeakquel,2009,88.0,1,0.75,6,25,2,2,1,8
12 Rounds,2009,108.0,2,0.72,46,35,18,0,1,3
Survival of the Dead,2009,90.0,1,0.5,31,23,31,1,1,1
Fame,1980,134.0,2,0.71,32,22,13,1,1,2
Fame,2009,107.0,2,0.71,32,22,13,2,1,1
I Am Love,2009,120.0,2,0.83,58,41,12,1,20,2
The House of the Devil,2009,95.0,1,0.59,60,40,42,1,1,5
Astro Boy,2009,94.0,1,0.66,81,128,41,2,8,8
Carriers,2009,84.0,1,0.46,67,104,80,0,1,0
My Life in Ruins,2009,95.0,1,0.81,163,49,38,0,1,1
G-Force,2009,88.0,1,0.11,1,3,8,2,1,8
Did You Hear About the Morgans?,2009,103.0,2,0.71,25,8,10,0,1,1
Away We Go,2009,98.0,1,0.82,27,18,6,1,1,0
Love Happens,2009,109.0,2,0.86,43,13,7,0,1,2
The Girl Who Kicked the Hornet's Nest,2009,147.0,2,0.67,118,73,59,1,19,4
Youth in Revolt,2009,90.0,1,0.8,131,86,33,1,1,1
Observe and Report,2009,86.0,1,1.0,4,4,0,1,1,1
Bright Star,2009,119.0,2,0.7,37,30,16,2,0,7
Harry Brown,2009,103.0,2,0.51,93,67,90,1,0,3
Duplicity,2009,125.0,2,0.47,14,20,16,0,1,1
The Pink Panther 2,2009,92.0,1,0.6,25,49,17,2,1,3
The Informant!,2009,108.0,2,0.7,7,12,3,1,1,7
The Answer Man,2009,95.0,1,0.75,53,25,18,1,1,1
Planet 51,2009,91.0,1,0.62,63,148,39,2,15,8
Crossing Over,2009,113.0,2,0.44,4,1,5,1,1,4
Madea Goes to Jail,2009,103.0,2,0.64,79,89,44,0,1,1
A Christmas Carol,2009,96.0,1,0.77,147,60,43,2,1,8
Sin Nombre,2009,96.0,1,0.63,79,85,46,1,12,0
City Island,2009,104.0,2,1.0,4,3,0,0,1,1
Coco Before Chanel,2009,105.0,2,0.68,73,57,35,0,2,7
Summer Wars,2009,114.0,2,0.68,19,9,9,2,21,8
The Messenger,2009,113.0,2,0.53,17,12,15,1,1,2
The Soloist,2009,117.0,2,0.92,11,6,1,0,0,7
World's Greatest Dad,2009,99.0,1,0.63,34,27,20,1,1,1
Whiteout,2009,101.0,2,0.67,10,12,5,1,1,3
Paper Man,2009,110.0,2,0.67,4,8,2,1,1,1
Let Me In,2010,116.0,2,0.78,122,94,35,1,0,2
Four Lions,2010,97.0,1,0.57,88,95,67,1,0,1
MacGruber,2010,90.0,1,0.68,38,23,18,1,1,3
Little White Lies,2010,154.0,2,0.82,45,20,10,4,2,1
Charlie St. Cloud,2010,99.0,1,0.6,84,71,57,0,1,2
Vanishing on 7th Street,2010,92.0,1,0.51,45,46,43,1,1,5
Barney's Version,2010,134.0,2,1.0,4,0,0,1,20,1
The Conspirator,2010,122.0,2,0.57,34,32,26,0,1,4
Furry Vengeance,2010,92.0,1,0.72,99,98,39,2,0,1
The Tempest,2010,110.0,2,0.65,41,21,22,0,1,1
Henry's Crime,2010,108.0,2,1.0,4,1,0,1,1,1
Extraordinary Measures,2010,106.0,2,0.73,24,29,9,2,1,2
Yogi Bear,2010,80.0,1,0.78,35,42,10,2,1,8
My Soul to Take,2010,107.0,2,0.68,132,57,61,1,1,5
Elle s'appelait Sarah,2010,111.0,2,0.0,0,2,2,0,2,2
The Warrior's Way,2010,100.0,1,0.57,90,92,68,1,22,3
The Trip,2010,112.0,2,0.82,164,51,35,4,0,1
Hesher,2010,106.0,2,0.68,100,89,48,1,1,2
For Colored Girls,2010,133.0,2,0.56,105,57,81,1,1,2
The Perfect Host,2010,93.0,1,1.0,17,13,0,1,1,1
Love Ranch,2010,117.0,2,0.67,22,14,11,1,5,7
Love Crime,2010,106.0,2,0.64,9,7,5,4,2,4
Passion Play,2010,94.0,1,0.59,105,72,73,1,1,2
Kaboom,2010,86.0,1,0.83,10,5,2,4,1,1
Everything Must Go,2010,97.0,1,0.73,58,115,21,1,1,2
Captain America: the First Avenger,2011,124.0,2,0.73,80,141,29,0,1,3
Thor,2011,115.0,2,0.84,124,102,24,0,1,3
Take Shelter,2011,120.0,2,0.62,118,60,73,1,1,2
Bridesmaids,2011,125.0,2,0.72,126,75,50,1,1,1
Fast Five,2011,130.0,2,0.66,106,90,54,0,1,3
Midnight in Paris,2011,94.0,1,0.76,120,92,38,0,15,1
Moneyball,2011,133.0,2,0.84,117,111,22,0,1,7
Just Go with It,2011,117.0,2,0.79,114,105,31,0,1,1
The Intouchables,2011,112.0,2,0.87,120,113,18,1,2,7
Drive,2011,100.0,1,0.73,90,126,34,1,1,4
Green Lantern,2011,114.0,2,0.71,115,87,48,0,1,3
The Cabin in the Woods,2011,95.0,1,0.49,94,59,97,1,1,5
The Help,2011,146.0,2,0.78,59,45,17,0,1,2
"Crazy, Stupid, Love.",2011,118.0,2,0.84,120,107,23,0,1,1
No Strings Attached,2011,108.0,2,0.77,37,33,11,1,1,1
Sucker Punch,2011,110.0,2,0.68,112,85,53,0,1,3
Warrior,2011,140.0,2,0.83,125,99,26,0,1,3
Friends with Benefits,2011,109.0,2,0.73,74,73,27,1,1,1
Immortals,2011,110.0,2,0.79,100,123,27,1,1,3
X-Men: First Class,2011,131.0,2,0.85,136,90,24,0,1,3
Contagion,2011,106.0,2,0.55,74,116,60,0,23,2
Bad Teacher,2011,92.0,1,0.71,91,121,38,1,1,1
In Time,2011,109.0,2,0.87,33,212,5,0,1,3
One Day,2011,107.0,2,0.67,128,58,64,0,1,2
Scream 4,2011,111.0,2,0.44,75,78,97,1,1,5
Shame,2011,101.0,2,0.63,113,70,67,6,0,2
Mission: Impossible - Ghost Protocol,2011,132.0,2,1.0,2,3,0,0,1,3
We Need to Talk About Kevin,2011,112.0,2,0.55,92,83,75,1,0,2
Limitless,2011,105.0,2,0.85,99,133,18,0,1,10
Unknown,2011,113.0,2,0.74,112,98,40,0,0,3
Transformers: Dark of the Moon,2011,154.0,2,0.7,47,81,20,0,1,3
Cowboys & Aliens,2011,119.0,2,0.71,93,120,38,0,1,3
Tinker Tailor Soldier Spy,2011,122.0,2,0.75,127,81,42,1,0,2
Conan the Barbarian,1982,129.0,2,0.73,124,80,46,1,1,3
Conan the Barbarian,2011,113.0,2,0.73,124,80,46,1,1,3
Melancholia,2011,135.0,2,0.64,52,62,29,1,11,2
Source Code,2011,93.0,1,0.7,114,88,48,0,1,3
Real Steel,2011,127.0,2,0.89,25,32,3,0,1,3
Horrible Bosses,2011,98.0,1,0.73,123,81,46,1,1,1
Rio,2011,96.0,1,0.83,74,160,15,2,1,8
The Skin I Live In,2011,120.0,2,0.65,55,59,30,1,15,2
Sherlock Holmes: A Game of Shadows,2011,129.0,2,0.82,113,112,25,0,1,3
The Three Musketeers,1993,105.0,2,0.65,94,105,51,2,24,3
The Three Musketeers,2011,110.0,2,0.65,94,105,51,0,1,3
Tower Heist,2011,104.0,2,0.75,116,95,39,0,1,3
Paul,2011,104.0,2,0.68,64,156,30,1,1,0
Rise of the Planet of the Apes,2011,105.0,2,0.7,49,34,21,0,1,3
Your Highness,2011,102.0,2,0.76,71,45,22,1,1,0
The Lincoln Lawyer,2011,118.0,2,0.82,128,94,28,1,1,4
Colombiana,2011,108.0,2,0.66,92,111,47,0,2,3
Larry Crowne,2011,98.0,1,0.8,20,14,5,0,1,1
Abduction,2011,106.0,2,0.71,94,118,38,0,1,3
A Separation,2011,123.0,2,0.83,133,89,28,0,25,2
Hugo,2011,126.0,2,0.79,107,115,28,2,0,2
The Adjustment Bureau,2011,106.0,2,0.81,79,42,19,0,1,12
10 Years,2011,100.0,1,0.75,103,112,35,0,1,1
The Tree of Life,2011,139.0,2,0.76,121,91,38,0,1,2
The Deep Blue Sea,2011,98.0,1,1.0,2,4,0,1,0,2
Killer Joe,2011,102.0,2,0.57,89,82,66,5,1,4
Jane Eyre,1996,112.0,2,0.74,129,75,46,2,2,2
Jane Eyre,2011,120.0,2,0.74,129,75,46,0,0,2
Kill the Irishman,2011,106.0,2,0.61,107,75,68,1,1,7
War Horse,2011,146.0,2,0.6,106,73,72,0,1,3
The Change-Up,2011,112.0,2,0.75,80,92,27,1,1,1
The Raid: Redemption,2011,101.0,2,0.74,82,77,29,1,26,3
Margin Call,2011,107.0,2,0.66,88,117,45,1,1,2
Martha Marcy May Marlene,2011,102.0,2,0.56,90,89,72,1,1,2
Hanna,2011,111.0,2,0.72,41,21,16,0,1,3
50/50,2011,100.0,1,0.68,50,15,23,1,1,1
The Descendants,2011,115.0,2,0.74,76,58,27,1,1,1
The Adventures of Tintin,2011,107.0,2,0.76,87,80,27,2,1,8
Final Destination 5,2011,92.0,1,0.48,77,89,84,1,1,3
You're Next,2011,95.0,1,0.57,97,79,74,1,1,5
The Sitter,2011,81.0,1,0.77,80,62,24,1,1,1
Frances Ha,2012,86.0,1,0.82,41,22,9,1,1,1
The Five-Year Engagement,2012,124.0,2,0.6,24,15,16,1,1,1
House at the End of the Street,2012,101.0,2,0.52,89,62,82,0,1,2
The Sessions,2012,95.0,1,0.8,8,6,2,1,1,7
The Three Stooges,2012,92.0,1,0.52,21,30,19,2,1,1
Think Like a Man,2012,122.0,2,0.74,126,79,45,0,1,1
The Vow,2012,104.0,2,0.83,152,66,32,0,1,2
Taken 2,2012,92.0,1,0.57,77,114,59,0,2,3
Compliance,2012,90.0,1,0.45,53,42,66,1,1,4
Rust and Bone,2012,120.0,2,0.73,124,74,47,1,2,2
The Company You Keep,2012,125.0,2,1.0,1,7,0,1,1,2
Hit and Run,2012,100.0,1,0.61,19,25,12,1,1,3
Act of Valor,2012,110.0,2,0.73,119,86,45,1,1,3
Passion,2012,102.0,2,0.66,100,98,52,1,2,0
On the Road,2012,124.0,2,0.75,113,82,38,1,2,0
Bullet to the Head,2012,92.0,1,0.75,51,45,17,1,1,3
LOL,2012,97.0,1,0.8,123,96,31,0,1,1
The First Time,2012,95.0,1,0.9,9,14,1,0,1,1
V/H/S,2012,116.0,2,0.43,61,51,80,1,1,5
No One Lives,2012,86.0,1,0.57,93,88,69,1,1,5
Mirror Mirror,2012,106.0,2,0.73,8,4,3,2,1,0
About Cherry,2012,98.0,1,0.61,67,92,43,1,1,2
Hitchcock,2012,98.0,1,0.76,13,14,4,0,1,7
The Lords of Salem,2012,101.0,2,0.36,16,6,28,1,1,5
Step Up Revolution,2012,99.0,1,0.67,2,8,1,0,1,2
Ruby Sparks,2012,104.0,2,0.72,120,83,47,1,1,1
The Paperboy,2012,107.0,2,0.62,115,64,71,1,1,4
The Possession,2012,92.0,1,0.56,78,109,62,0,1,5
Silent Hill: Revelation,2012,95.0,1,0.62,99,92,60,1,4,3
Safe,1995,119.0,2,0.78,125,85,36,1,0,2
Safe,2012,94.0,1,0.78,125,85,36,1,1,3
The Brass Teapot,2012,101.0,2,0.5,2,5,2,1,1,1
Alex Cross,2012,101.0,2,0.68,120,73,57,0,1,3
Amour,2012,127.0,2,0.56,59,69,46,0,24,2
What to Expect When You're Expecting,2012,110.0,2,0.73,40,30,15,0,1,1
Trouble with the Curve,2012,111.0,2,0.77,123,90,37,0,1,2
Here Comes the Boom,2012,105.0,2,0.83,124,100,25,2,1,3
The Collection,2012,82.0,1,0.59,17,17,12,1,1,5
John Dies at the End,2012,99.0,1,0.69,115,84,51,1,1,1
To Rome with Love,2012,112.0,2,0.6,6,4,4,1,1,1
The Giant Mechanical Man,2012,94.0,1,0.75,12,10,4,0,1,1
Contraband,2012,109.0,2,0.69,47,54,21,1,1,3
Red Lights,2012,114.0,2,0.69,90,88,41,1,15,2
Arbitrage,2012,107.0,2,0.61,99,85,64,1,1,2
The Man with the Iron Fists,2012,95.0,1,0.65,32,31,17,1,1,3
Cosmopolis,2012,109.0,2,0.48,92,57,101,1,4,4
The Campaign,2012,85.0,1,0.77,33,34,10,1,1,1
Frankenweenie,2012,87.0,1,0.55,81,103,66,2,1,8
A Royal Affair,2012,137.0,2,0.75,43,41,14,1,11,7
The Guilt Trip,2012,95.0,1,0.83,15,12,3,0,1,1
Stand Up Guys,2012,95.0,1,0.79,122,95,33,1,1,1
Deadfall,1993,98.0,1,0.74,56,35,20,1,1,4
Deadfall,2012,95.0,1,0.74,56,35,20,1,2,4
The Bay,2012,84.0,1,0.55,89,87,74,1,1,5
The Words,2012,102.0,2,0.72,84,133,33,0,1,2
The Broken Circle Breakdown,2012,111.0,2,0.67,73,59,36,4,27,2
Thanks for Sharing,2012,112.0,2,0.6,87,104,59,1,1,1
Starlet,2012,103.0,2,0.75,6,4,2,4,1,2
The Angels' Share,2012,101.0,2,0.77,130,64,38,1,0,1
Universal Soldier: Day of Reckoning,2012,114.0,2,0.53,92,76,82,1,1,3
Promised Land,1987,102.0,2,0.73,117,90,44,1,1,2
Promised Land,2012,106.0,2,0.73,117,90,44,1,1,2
Beasts of the Southern Wild,2012,93.0,1,0.66,122,66,62,0,1,0
Red Tails,2012,125.0,2,0.56,97,77,76,0,1,3
In the House,2012,105.0,2,0.74,42,48,15,1,2,2
The Cold Light of Day,2012,93.0,1,0.6,41,30,27,0,1,3
The Apparition,2012,82.0,1,0.54,82,81,71,0,1,5
To the Wonder,2012,112.0,2,0.74,143,56,50,1,1,2
Chasing Mavericks,2012,116.0,2,0.83,19,17,4,2,1,7
Bachelorette,2012,87.0,1,0.66,90,101,47,1,1,1
Lay the Favorite,2012,94.0,1,0.62,16,8,10,1,1,1
Kahaani,2012,122.0,2,0.9,100,115,11,4,13,9
Parental Guidance,2012,105.0,2,0.54,7,19,6,2,1,1
The Raven,2012,110.0,2,0.6,101,81,68,1,1,4
Liberal Arts,2012,97.0,1,0.69,20,24,9,0,1,1
Stolen,2012,96.0,1,0.61,97,90,63,1,1,3
Kon-Tiki,2012,118.0,2,0.76,64,86,20,0,0,0
Paranormal Activity 4,2012,88.0,1,0.38,6,19,10,1,1,5
Quartet,1981,101.0,2,0.75,80,50,26,1,0,2
Quartet,2012,98.0,1,0.75,80,50,26,0,0,1
28 Hotel Rooms,2012,82.0,1,0.54,30,27,26,4,1,2
Playing for Keeps,1986,102.0,2,0.61,97,93,61,0,1,1
Playing for Keeps,2012,105.0,2,0.61,97,93,61,0,1,1
Upside Down,2012,109.0,2,0.75,122,87,41,0,4,2
Great Expectations,1998,111.0,2,0.57,95,84,71,1,1,2
Great Expectations,2012,128.0,2,0.57,95,84,71,0,0,2
The Odd Life of Timothy Green,2012,105.0,2,0.91,50,35,5,2,1,1
Premium Rush,2012,91.0,1,0.66,83,125,42,0,1,3
Not Fade Away,2012,112.0,2,0.71,5,6,2,1,1,2
Disconnect,2012,115.0,2,0.7,131,64,55,1,1,2
Sightseers,2012,88.0,1,0.67,2,1,1,4,0,0
The Pirates! Band of Misfits,2012,88.0,1,0.67,49,52,24,2,0,8
Chernobyl Diaries,2012,86.0,1,0.47,71,98,81,1,1,5
Talaash,2012,140.0,2,0.82,126,93,28,4,13,4
Hope Springs,2012,100.0,1,0.81,154,59,37,0,1,1
People Like Us,2012,114.0,2,0.76,114,94,36,0,1,1
The ABCs of Death,2012,129.0,2,0.36,16,43,28,4,1,1
Vamps,2012,92.0,1,0.63,101,89,60,0,1,1
Bel Ami,2012,102.0,2,0.64,9,11,5,1,0,4
The Reluctant Fundamentalist,2012,130.0,2,0.77,81,64,24,1,1,2
Much Ado About Nothing,1993,111.0,2,0.84,46,34,9,0,0,1
Much Ado About Nothing,2012,109.0,2,0.84,46,34,9,0,1,1
Big Miracle,2012,107.0,2,0.62,112,68,70,2,1,7
The Green Inferno,2013,100.0,1,0.48,83,78,89,1,1,0
Don Jon,2013,90.0,1,0.77,92,131,27,1,1,1
Now You See Me,2013,115.0,2,0.73,105,108,38,0,1,4
Identity Thief,2013,111.0,2,0.67,108,88,54,1,1,1
How I Live Now,2013,101.0,2,0.65,92,108,50,1,0,3
Upstream Color,2013,96.0,1,0.61,70,84,44,4,1,2
Parkland,2013,93.0,1,0.45,73,87,90,0,1,2
A Field in England,2013,90.0,1,0.62,116,64,70,4,0,2
In Secret,2013,107.0,2,0.69,107,96,47,1,28,4
Paranoia,2013,106.0,2,0.67,111,85,54,0,1,2
The Past,2013,130.0,2,0.67,6,4,3,0,2,2
Breathe In,2013,98.0,1,0.74,142,58,50,1,1,2
V/H/S/2,2013,96.0,1,0.46,6,13,7,1,1,5
Knights of Badassdom,2013,86.0,1,0.72,119,85,46,1,1,3
The Congress,2013,122.0,2,0.63,59,59,35,4,29,8
The Fifth Estate,2013,128.0,2,0.59,104,75,71,1,1,7
Ida,2013,82.0,1,0.67,47,67,23,0,30,2
The Love Punch,2013,94.0,1,0.84,76,35,14,0,2,1
Tracks,2013,112.0,2,0.8,133,84,33,0,3,0
Bad Words,2013,89.0,1,0.8,8,6,2,1,1,1
In a World...,2013,93.0,1,0.8,4,9,1,1,1,1
Ain't Them Bodies Saints,2013,96.0,1,0.71,110,76,45,1,1,4
Man of Tai Chi,2013,105.0,2,0.86,12,4,2,1,1,3
The East,2013,116.0,2,0.71,30,14,12,0,0,4
The Lunchbox,2013,104.0,2,0.83,109,119,22,2,13,2
New World,2013,135.0,2,0.64,78,128,44,4,17,3
Charlie Countryman,2013,103.0,2,0.92,12,2,1,1,1,3
Getaway,2013,90.0,1,0.75,9,15,3,0,1,3
Guardians of the Galaxy,2014,121.0,2,0.75,113,100,37,0,1,3
Interstellar,2014,169.0,2,0.7,140,50,60,0,1,0
John Wick,2014,101.0,2,0.63,115,69,67,1,1,3
Edge of Tomorrow,2014,113.0,2,0.83,130,94,26,0,1,3
Gone Girl,2014,149.0,2,0.65,95,103,52,1,1,2
Captain America: The Winter Soldier,2014,136.0,2,0.79,135,79,36,0,1,3
The Grand Budapest Hotel,2014,99.0,1,0.84,147,76,27,1,1,0
Whiplash,2014,106.0,2,0.77,140,67,43,1,1,2
Kingsman: The Secret Service,2014,129.0,2,0.84,128,97,25,1,0,3
Ex Machina,2014,108.0,2,0.71,123,77,50,1,0,2
Divergent,2014,139.0,2,0.67,106,92,52,0,1,3
Nightcrawler,2014,117.0,2,0.71,115,87,48,1,1,4
The Hobbit: The Battle of the Five Armies,2014,144.0,2,0.79,137,77,36,0,22,0
The Equalizer,2014,132.0,2,0.67,106,91,53,1,1,3
The Maze Runner,2014,113.0,2,0.77,108,110,32,0,1,3
Lucy,2014,89.0,1,0.71,96,115,39,1,2,3
Chef,2014,114.0,2,0.9,108,130,12,1,1,0
What We Do in the Shadows,2014,86.0,1,0.78,134,78,38,1,22,1
The Imitation Game,2014,114.0,2,0.7,114,86,50,0,0,7
Fury,2014,134.0,2,0.72,115,90,45,1,1,3
X-Men: Days of Future Past,2014,132.0,2,0.79,143,69,38,0,1,3
Predestination,2014,97.0,1,0.67,101,99,50,1,3,3
The Purge: Anarchy,2014,103.0,2,0.55,93,82,76,1,1,3
It Follows,2014,100.0,1,0.53,93,73,84,1,1,5
Blended,2014,117.0,2,0.81,141,76,33,0,1,1
Hercules,1983,98.0,1,0.76,38,44,12,2,20,0
Hercules,1997,93.0,1,0.76,38,44,12,3,1,8
Hercules,2014,98.0,1,0.76,38,44,12,0,1,3
The Judge,2014,141.0,2,0.77,118,98,35,1,1,4
Annie,1982,127.0,2,0.67,112,80,56,2,1,1
Annie,2014,118.0,2,0.67,112,80,56,2,1,1
Godzilla,1998,139.0,2,0.66,101,97,52,0,21,3
Godzilla,2014,123.0,2,0.66,101,97,52,0,1,3
The Giver,2014,97.0,1,0.68,106,94,50,0,1,2
300: Rise of an Empire,2014,102.0,2,0.67,98,104,48,1,1,3
American Sniper,2014,133.0,2,0.5,79,94,78,1,1,3
"Love, Rosie",2014,102.0,2,0.74,129,76,45,1,5,1
The Amazing Spider-Man 2,2014,142.0,2,0.79,137,78,36,0,1,3
Maleficent,2014,97.0,1,0.78,112,107,32,2,1,3
Into the Woods,2014,125.0,2,0.67,116,77,57,2,1,0
Unbroken,2014,137.0,2,0.68,118,77,55,0,1,3
The Hunger Games: Mockingjay - Part 1,2014,123.0,2,0.63,86,114,50,0,1,3
Tusk,2014,102.0,2,0.47,68,106,77,1,4,1
Night at the Museum: Secret of the Tomb,2014,98.0,1,0.69,86,124,38,2,0,0
The Fault in Our Stars,2014,126.0,2,0.65,96,102,52,0,1,2
"As Above, So Below",2014,93.0,1,0.62,101,87,62,1,1,5
Annabelle,2014,99.0,1,0.61,65,144,41,1,1,5
Boyhood,2014,165.0,2,0.76,139,68,43,1,1,2
The Theory of Everything,2014,123.0,2,0.63,84,117,49,0,0,7
The Expendables 3,2014,126.0,2,0.63,95,100,55,0,2,3
The Interview,2014,112.0,2,0.61,89,105,56,1,1,3
The Drop,2014,106.0,2,0.76,133,75,42,1,1,4
Transformers: Age of Extinction,2014,165.0,2,0.7,90,68,38,0,1,3
Inherent Vice,2014,148.0,2,0.81,135,84,31,1,1,1
Neighbors,1981,94.0,1,0.65,80,83,43,1,1,1
Neighbors,2014,97.0,1,0.65,80,83,43,1,1,1
The Babadook,2014,94.0,1,0.5,85,82,84,4,3,2
Sex Tape,2014,94.0,1,0.57,82,106,61,1,1,1
The Other Woman,2014,109.0,2,0.7,96,112,42,0,1,1
Wild Tales,2014,122.0,2,0.74,98,117,35,1,31,1
Wild,2014,115.0,2,0.72,43,34,17,1,1,0
Foxcatcher,2014,134.0,2,0.65,106,86,58,1,1,7
The Guest,2014,100.0,1,0.67,112,82,56,1,1,3
Teenage Mutant Ninja Turtles,1990,93.0,1,0.65,96,103,51,2,1,3
Teenage Mutant Ninja Turtles,2014,101.0,2,0.65,96,103,51,0,1,3
RoboCop,1987,102.0,2,0.86,72,107,12,1,1,3
RoboCop,2014,117.0,2,0.86,72,107,12,0,1,3
22 Jump Street,2014,112.0,2,0.75,108,106,36,1,1,3
Dawn of the Planet of the Apes,2014,130.0,2,0.74,66,161,23,0,1,3
Sin City: A Dame to Kill for,2014,102.0,2,0.56,98,76,76,1,1,3
Brick Mansions,2014,90.0,1,0.55,72,118,59,0,2,3
Vampire Academy,2014,104.0,2,0.61,112,66,72,0,1,3
The Monuments Men,2014,118.0,2,0.65,13,17,7,0,1,1
Honeymoon,2014,87.0,1,0.5,2,2,2,1,1,2
Dumb and Dumber to,2014,109.0,2,0.62,95,98,57,0,1,1
Before We Go,2014,95.0,1,0.83,133,89,28,0,1,1
How to Train Your Dragon 2,2014,102.0,2,0.67,86,121,43,2,1,8
Noah,2014,138.0,2,0.69,100,106,44,0,1,3
A Walk Among the Tombstones,2014,114.0,2,0.59,77,61,53,1,1,3
Need for Speed,2014,132.0,2,0.69,85,127,38,0,1,3
Seventh Son,2014,102.0,2,0.56,93,85,73,0,1,3
Exodus: Gods and Kings,2014,150.0,2,0.69,91,118,41,0,0,3
A Million Ways to Die in the West,2014,116.0,2,0.71,114,91,46,1,1,1
The Best of Me,2014,118.0,2,0.59,100,81,69,0,1,2
Demolition,2015,101.0,2,0.72,121,82,47,1,1,1
Daddy's Home,2015,96.0,1,0.7,94,69,41,0,1,1
Mr. Right,2015,95.0,1,0.8,148,64,38,1,1,3
Magic Mike XXL,2015,115.0,2,0.61,65,143,42,1,1,1
The DUFF,2015,101.0,2,0.75,114,97,39,0,1,1
Trumbo,2015,124.0,2,0.68,106,94,51,1,1,7
Knight of Cups,2015,118.0,2,0.62,125,49,76,1,1,2
The Stanford Prison Experiment,2015,122.0,2,0.52,88,82,80,1,1,7
The Longest Ride,2015,123.0,2,0.89,140,92,18,0,1,2
Victor Frankenstein,2015,110.0,2,0.75,105,110,35,0,0,2
Insidious: Chapter 3,2015,97.0,1,0.5,70,111,69,0,4,5
Goosebumps,2015,103.0,2,0.72,94,119,37,2,1,0
Aloha,2015,105.0,2,0.64,106,84,60,0,1,1
A Bigger Splash,2015,125.0,2,0.78,18,13,5,1,20,2
The Wedding Ringer,2015,101.0,2,0.66,108,85,55,1,1,1
Sisters,2015,118.0,2,0.75,117,95,38,1,1,1
Secret in Their Eyes,2015,111.0,2,0.75,73,49,24,0,1,4
Irrational Man,2015,95.0,1,0.75,18,6,6,1,1,1
Wild Card,2015,92.0,1,0.81,124,87,29,1,1,3
